_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,ICD10Codes,DischargesCount,DischargesCountQF,DischargesRates,DischargesRatesQF,PatientsCount,PatientsCountQF,PatientsRates,PatientsRatesQF,HospitalResidentsCount,HospitalResidentsCountQF,HospitalResidentsRates,HospitalResidentsRatesQF
19,1997/98,S92000003,d,Total,d,F20 - F29,6400, ,125.9, ,4270, ,84, ,2315, ,45.54, 
20,1997/98,S92000003,d,SMR01, ,F20 - F29,95, ,1.87, ,85, ,1.67, ,,:,,:
21,1997/98,S92000003,d,SMR04, ,F20 - F29,6300, ,123.93, ,4210, ,82.82, ,2315, ,45.54, 
22,1998/99,S92000003,d,Total,d,F60 - F69,1355, ,26.69, ,925, ,18.22, ,135, ,2.66, 
23,1998/99,S92000003,d,SMR01, ,F60 - F69,55, ,1.08, ,45, ,0.89, ,,:,,:
24,1998/99,S92000003,d,SMR04, ,F60 - F69,1305, ,25.7, ,880, ,17.33, ,135, ,2.66, 
25,1998/99,S92000003,d,Total,d,F10 - F19,10850, ,213.71, ,8105, ,159.64, ,450, ,8.86, 
26,1998/99,S92000003,d,SMR01, ,F10 - F19,5460, ,107.54, ,4345, ,85.58, ,,:,,:
27,1998/99,S92000003,d,SMR04, ,F10 - F19,5390, ,106.16, ,4180, ,82.33, ,450, ,8.86, 
28,1998/99,S92000003,d,Total,d,F30 - F39,9465, ,186.43, ,7100, ,139.84, ,1125, ,22.16, 
29,1998/99,S92000003,d,SMR01, ,F30 - F39,540, ,10.64, ,460, ,9.06, ,,:,,:
30,1998/99,S92000003,d,SMR04, ,F30 - F39,8925, ,175.79, ,6735, ,132.66, ,1125, ,22.16, 
31,1998/99,S92000003,d,Total,d,F40 - F49,3085, ,60.76, ,2645, ,52.1, ,120, ,2.36, 
32,1998/99,S92000003,d,SMR01, ,F40 - F49,785, ,15.46, ,700, ,13.79, ,,:,,:
33,1998/99,S92000003,d,SMR04, ,F40 - F49,2300, ,45.3, ,1960, ,38.6, ,120, ,2.36, 
34,1998/99,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8705, ,171.46, ,6100, ,120.15, ,2885, ,56.82, 
35,1998/99,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2505, ,49.34, ,1995, ,39.29, ,,:,,:
36,1998/99,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,6200, ,122.12, ,4300, ,84.69, ,2885, ,56.82, 
37,1998/99,S92000003,d,Total,d,"F50 - F59, F70 - F99",845, ,16.64, ,700, ,13.79, ,160, ,3.15, 
38,1998/99,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",375, ,7.39, ,290, ,5.71, ,,:,,:
39,1998/99,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",470, ,9.26, ,420, ,8.27, ,160, ,3.15, 
40,1998/99,S92000003,d,Total,d,F20 - F29,6745, ,132.85, ,4470, ,88.04, ,2225, ,43.82, 
41,1998/99,S92000003,d,SMR01, ,F20 - F29,120, ,2.36, ,100, ,1.97, ,,:,,:
42,1998/99,S92000003,d,SMR04, ,F20 - F29,6625, ,130.49, ,4400, ,86.66, ,2225, ,43.82, 
43,1999/00,S92000003,d,Total,d,F60 - F69,1230, ,24.25, ,875, ,17.25, ,125, ,2.46, 
44,1999/00,S92000003,d,SMR01, ,F60 - F69,40, ,0.79, ,40, ,0.79, ,,:,,:
45,1999/00,S92000003,d,SMR04, ,F60 - F69,1190, ,23.46, ,840, ,16.56, ,125, ,2.46, 
46,1999/00,S92000003,d,Total,d,F10 - F19,11520, ,227.13, ,8570, ,168.97, ,415, ,8.18, 
47,1999/00,S92000003,d,SMR01, ,F10 - F19,5925, ,116.82, ,4700, ,92.67, ,,:,,:
48,1999/00,S92000003,d,SMR04, ,F10 - F19,5590, ,110.21, ,4315, ,85.08, ,415, ,8.18, 
49,1999/00,S92000003,d,Total,d,F30 - F39,9130, ,180.01, ,6815, ,134.37, ,1065, ,21, 
50,1999/00,S92000003,d,SMR01, ,F30 - F39,510, ,10.06, ,460, ,9.07, ,,:,,:
51,1999/00,S92000003,d,SMR04, ,F30 - F39,8620, ,169.95, ,6465, ,127.47, ,1065, ,21, 
52,1999/00,S92000003,d,Total,d,F40 - F49,2880, ,56.78, ,2495, ,49.19, ,110, ,2.17, 
53,1999/00,S92000003,d,SMR01, ,F40 - F49,690, ,13.6, ,630, ,12.42, ,,:,,:
54,1999/00,S92000003,d,SMR04, ,F40 - F49,2190, ,43.18, ,1885, ,37.17, ,110, ,2.17, 
55,1999/00,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,8295, ,163.55, ,5860, ,115.54, ,2655, ,52.35, 
56,1999/00,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2345, ,46.23, ,1880, ,37.07, ,,:,,:
57,1999/00,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,5950, ,117.31, ,4170, ,82.22, ,2655, ,52.35, 
58,1999/00,S92000003,d,Total,d,"F50 - F59, F70 - F99",665, ,13.11, ,550, ,10.84, ,135, ,2.66, 
59,1999/00,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",275, ,5.42, ,245, ,4.83, ,,:,,:
60,1999/00,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",390, ,7.69, ,325, ,6.41, ,135, ,2.66, 
61,1999/00,S92000003,d,Total,d,F20 - F29,6680, ,131.7, ,4485, ,88.43, ,2110, ,41.6, 
62,1999/00,S92000003,d,SMR01, ,F20 - F29,110, ,2.17, ,90, ,1.77, ,,:,,:
63,1999/00,S92000003,d,SMR04, ,F20 - F29,6570, ,129.54, ,4420, ,87.15, ,2110, ,41.6, 
64,2000/01,S92000003,d,Total,d,F60 - F69,1250, ,24.69, ,870, ,17.18, ,125, ,2.47, 
65,2000/01,S92000003,d,SMR01, ,F60 - F69,45, ,0.89, ,35, ,0.69, ,,:,,:
66,2000/01,S92000003,d,SMR04, ,F60 - F69,1210, ,23.9, ,835, ,16.49, ,125, ,2.47, 
67,2000/01,S92000003,d,Total,d,F10 - F19,10800, ,213.31, ,8040, ,158.8, ,415, ,8.2, 
68,2000/01,S92000003,d,SMR01, ,F10 - F19,5720, ,112.98, ,4520, ,89.28, ,,:,,:
69,2000/01,S92000003,d,SMR04, ,F10 - F19,5075, ,100.24, ,3940, ,77.82, ,415, ,8.2, 
70,2000/01,S92000003,d,Total,d,F30 - F39,9145, ,180.63, ,6735, ,133.03, ,1065, ,21.04, 
71,2000/01,S92000003,d,SMR01, ,F30 - F39,535, ,10.57, ,445, ,8.79, ,,:,,:
72,2000/01,S92000003,d,SMR04, ,F30 - F39,8610, ,170.06, ,6385, ,126.11, ,1065, ,21.04, 
73,2000/01,S92000003,d,Total,d,F40 - F49,2725, ,53.82, ,2380, ,47.01, ,105, ,2.07, 
74,2000/01,S92000003,d,SMR01, ,F40 - F49,735, ,14.52, ,660, ,13.04, ,,:,,:
75,2000/01,S92000003,d,SMR04, ,F40 - F49,1990, ,39.31, ,1740, ,34.37, ,105, ,2.07, 
76,2000/01,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7545, ,149.02, ,5365, ,105.97, ,2510, ,49.58, 
77,2000/01,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2210, ,43.65, ,1705, ,33.68, ,,:,,:
78,2000/01,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,5340, ,105.47, ,3805, ,75.15, ,2510, ,49.58, 
79,2000/01,S92000003,d,Total,d,"F50 - F59, F70 - F99",645, ,12.74, ,520, ,10.27, ,135, ,2.67, 
80,2000/01,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",280, ,5.53, ,230, ,4.54, ,,:,,:
81,2000/01,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",370, ,7.31, ,300, ,5.93, ,135, ,2.67, 
82,2000/01,S92000003,d,Total,d,F20 - F29,7080, ,139.84, ,4590, ,90.66, ,2060, ,40.69, 
83,2000/01,S92000003,d,SMR01, ,F20 - F29,155, ,3.06, ,130, ,2.57, ,,:,,:
84,2000/01,S92000003,d,SMR04, ,F20 - F29,6925, ,136.78, ,4505, ,88.98, ,2060, ,40.69, 
85,2001/02,S92000003,d,Total,d,F60 - F69,1285, ,25.37, ,875, ,17.28, ,130, ,2.57, 
86,2001/02,S92000003,d,SMR01, ,F60 - F69,45, ,0.89, ,35, ,0.69, ,,:,,:
87,2001/02,S92000003,d,SMR04, ,F60 - F69,1240, ,24.49, ,840, ,16.59, ,130, ,2.57, 
88,2001/02,S92000003,d,Total,d,F10 - F19,10825, ,213.76, ,8035, ,158.66, ,370, ,7.31, 
89,2001/02,S92000003,d,SMR01, ,F10 - F19,5655, ,111.67, ,4460, ,88.07, ,,:,,:
90,2001/02,S92000003,d,SMR04, ,F10 - F19,5170, ,102.09, ,3990, ,78.79, ,370, ,7.31, 
91,2001/02,S92000003,d,Total,d,F30 - F39,8855, ,174.85, ,6535, ,129.04, ,1030, ,20.34, 
92,2001/02,S92000003,d,SMR01, ,F30 - F39,480, ,9.48, ,415, ,8.19, ,,:,,:
93,2001/02,S92000003,d,SMR04, ,F30 - F39,8375, ,165.38, ,6195, ,122.33, ,1030, ,20.34, 
94,2001/02,S92000003,d,Total,d,F40 - F49,2780, ,54.9, ,2345, ,46.31, ,105, ,2.07, 
95,2001/02,S92000003,d,SMR01, ,F40 - F49,820, ,16.19, ,720, ,14.22, ,,:,,:
96,2001/02,S92000003,d,SMR04, ,F40 - F49,1965, ,38.8, ,1640, ,32.38, ,105, ,2.07, 
97,2001/02,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7430, ,146.72, ,5235, ,103.37, ,2345, ,46.31, 
98,2001/02,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2505, ,49.46, ,1830, ,36.14, ,,:,,:
99,2001/02,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4925, ,97.25, ,3590, ,70.89, ,2345, ,46.31, 
100,2001/02,S92000003,d,Total,d,"F50 - F59, F70 - F99",555, ,10.96, ,470, ,9.28, ,125, ,2.47, 
101,2001/02,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",260, ,5.13, ,235, ,4.64, ,,:,,:
102,2001/02,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",295, ,5.83, ,250, ,4.94, ,125, ,2.47, 
103,2001/02,S92000003,d,Total,d,F20 - F29,7120, ,140.59, ,4525, ,89.35, ,1965, ,38.8, 
104,2001/02,S92000003,d,SMR01, ,F20 - F29,130, ,2.57, ,110, ,2.17, ,,:,,:
105,2001/02,S92000003,d,SMR04, ,F20 - F29,6990, ,138.03, ,4460, ,88.07, ,1965, ,38.8, 
106,2002/03,S92000003,d,Total,d,F60 - F69,1265, ,24.97, ,875, ,17.27, ,115, ,2.27, 
107,2002/03,S92000003,d,SMR01, ,F60 - F69,50, ,0.99, ,40, ,0.79, ,,:,,:
108,2002/03,S92000003,d,SMR04, ,F60 - F69,1215, ,23.98, ,840, ,16.58, ,115, ,2.27, 
109,2002/03,S92000003,d,Total,d,F10 - F19,10705, ,211.31, ,7910, ,156.14, ,365, ,7.2, 
110,2002/03,S92000003,d,SMR01, ,F10 - F19,5625, ,111.03, ,4360, ,86.06, ,,:,,:
111,2002/03,S92000003,d,SMR04, ,F10 - F19,5085, ,100.38, ,3945, ,77.87, ,365, ,7.2, 
112,2002/03,S92000003,d,Total,d,F30 - F39,8760, ,172.92, ,6550, ,129.29, ,1030, ,20.33, 
113,2002/03,S92000003,d,SMR01, ,F30 - F39,475, ,9.38, ,410, ,8.09, ,,:,,:
114,2002/03,S92000003,d,SMR04, ,F30 - F39,8280, ,163.44, ,6220, ,122.78, ,1030, ,20.33, 
115,2002/03,S92000003,d,Total,d,F40 - F49,2615, ,51.62, ,2260, ,44.61, ,95, ,1.88, 
116,2002/03,S92000003,d,SMR01, ,F40 - F49,805, ,15.89, ,710, ,14.02, ,,:,,:
117,2002/03,S92000003,d,SMR04, ,F40 - F49,1810, ,35.73, ,1560, ,30.79, ,95, ,1.88, 
118,2002/03,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7345, ,144.99, ,5215, ,102.94, ,2170, ,42.83, 
119,2002/03,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2580, ,50.93, ,1875, ,37.01, ,,:,,:
120,2002/03,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4765, ,94.06, ,3475, ,68.59, ,2170, ,42.83, 
121,2002/03,S92000003,d,Total,d,"F50 - F59, F70 - F99",570, ,11.25, ,470, ,9.28, ,120, ,2.37, 
122,2002/03,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",295, ,5.82, ,255, ,5.03, ,,:,,:
123,2002/03,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",275, ,5.43, ,235, ,4.64, ,120, ,2.37, 
124,2002/03,S92000003,d,Total,d,F20 - F29,6990, ,137.98, ,4605, ,90.9, ,1885, ,37.21, 
125,2002/03,S92000003,d,SMR01, ,F20 - F29,110, ,2.17, ,100, ,1.97, ,,:,,:
126,2002/03,S92000003,d,SMR04, ,F20 - F29,6880, ,135.81, ,4550, ,89.81, ,1885, ,37.21, 
127,2003/04,S92000003,d,Total,d,F60 - F69,1255, ,24.76, ,860, ,16.97, ,110, ,2.17, 
128,2003/04,S92000003,d,SMR01, ,F60 - F69,70, ,1.38, ,55, ,1.09, ,,:,,:
129,2003/04,S92000003,d,SMR04, ,F60 - F69,1185, ,23.38, ,810, ,15.98, ,110, ,2.17, 
130,2003/04,S92000003,d,Total,d,F10 - F19,10580, ,208.74, ,7795, ,153.79, ,305, ,6.02, 
131,2003/04,S92000003,d,SMR01, ,F10 - F19,5705, ,112.56, ,4310, ,85.04, ,,:,,:
132,2003/04,S92000003,d,SMR04, ,F10 - F19,4875, ,96.18, ,3880, ,76.55, ,305, ,6.02, 
133,2003/04,S92000003,d,Total,d,F30 - F39,8610, ,169.87, ,6480, ,127.85, ,995, ,19.63, 
134,2003/04,S92000003,d,SMR01, ,F30 - F39,475, ,9.37, ,390, ,7.69, ,,:,,:
135,2003/04,S92000003,d,SMR04, ,F30 - F39,8135, ,160.5, ,6170, ,121.73, ,995, ,19.63, 
136,2003/04,S92000003,d,Total,d,F40 - F49,2535, ,50.01, ,2235, ,44.1, ,130, ,2.56, 
137,2003/04,S92000003,d,SMR01, ,F40 - F49,845, ,16.67, ,755, ,14.9, ,,:,,:
138,2003/04,S92000003,d,SMR04, ,F40 - F49,1695, ,33.44, ,1490, ,29.4, ,130, ,2.56, 
139,2003/04,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,7335, ,144.72, ,5125, ,101.11, ,2070, ,40.84, 
140,2003/04,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2880, ,56.82, ,1995, ,39.36, ,,:,,:
141,2003/04,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,4455, ,87.9, ,3320, ,65.5, ,2070, ,40.84, 
142,2003/04,S92000003,d,Total,d,"F50 - F59, F70 - F99",610, ,12.04, ,495, ,9.77, ,125, ,2.47, 
143,2003/04,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",295, ,5.82, ,250, ,4.93, ,,:,,:
144,2003/04,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",315, ,6.21, ,255, ,5.03, ,125, ,2.47, 
145,2003/04,S92000003,d,Total,d,F20 - F29,6930, ,136.73, ,4510, ,88.98, ,1830, ,36.11, 
146,2003/04,S92000003,d,SMR01, ,F20 - F29,135, ,2.66, ,115, ,2.27, ,,:,,:
147,2003/04,S92000003,d,SMR04, ,F20 - F29,6795, ,134.06, ,4430, ,87.4, ,1830, ,36.11, 
148,2004/05,S92000003,d,Total,d,F60 - F69,1325, ,26.06, ,865, ,17.01, ,120, ,2.36, 
149,2004/05,S92000003,d,SMR01, ,F60 - F69,35, ,0.69, ,30, ,0.59, ,,:,,:
150,2004/05,S92000003,d,SMR04, ,F60 - F69,1290, ,25.37, ,840, ,16.52, ,120, ,2.36, 
151,2004/05,S92000003,d,Total,d,F10 - F19,10380, ,204.16, ,7600, ,149.48, ,310, ,6.1, 
152,2004/05,S92000003,d,SMR01, ,F10 - F19,5590, ,109.95, ,4170, ,82.02, ,,:,,:
153,2004/05,S92000003,d,SMR04, ,F10 - F19,4785, ,94.11, ,3830, ,75.33, ,310, ,6.1, 
154,2004/05,S92000003,d,Total,d,F30 - F39,8010, ,157.54, ,6050, ,118.99, ,925, ,18.19, 
155,2004/05,S92000003,d,SMR01, ,F30 - F39,455, ,8.95, ,370, ,7.28, ,,:,,:
156,2004/05,S92000003,d,SMR04, ,F30 - F39,7560, ,148.69, ,5745, ,112.99, ,925, ,18.19, 
157,2004/05,S92000003,d,Total,d,F40 - F49,2455, ,48.29, ,2175, ,42.78, ,125, ,2.46, 
158,2004/05,S92000003,d,SMR01, ,F40 - F49,755, ,14.85, ,690, ,13.57, ,,:,,:
159,2004/05,S92000003,d,SMR04, ,F40 - F49,1700, ,33.44, ,1500, ,29.5, ,125, ,2.46, 
160,2004/05,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6615, ,130.11, ,4795, ,94.31, ,1915, ,37.66, 
161,2004/05,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2645, ,52.02, ,1860, ,36.58, ,,:,,:
162,2004/05,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3965, ,77.99, ,3070, ,60.38, ,1915, ,37.66, 
163,2004/05,S92000003,d,Total,d,"F50 - F59, F70 - F99",590, ,11.6, ,475, ,9.34, ,110, ,2.16, 
164,2004/05,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",250, ,4.92, ,225, ,4.43, ,,:,,:
165,2004/05,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",340, ,6.69, ,255, ,5.02, ,110, ,2.16, 
166,2004/05,S92000003,d,Total,d,F20 - F29,6905, ,135.81, ,4385, ,86.25, ,1755, ,34.52, 
167,2004/05,S92000003,d,SMR01, ,F20 - F29,130, ,2.56, ,110, ,2.16, ,,:,,:
168,2004/05,S92000003,d,SMR04, ,F20 - F29,6775, ,133.25, ,4315, ,84.87, ,1755, ,34.52, 
169,2005/06,S92000003,d,Total,d,F60 - F69,1325, ,25.93, ,875, ,17.12, ,95, ,1.86, 
170,2005/06,S92000003,d,SMR01, ,F60 - F69,50, ,0.98, ,45, ,0.88, ,,:,,:
171,2005/06,S92000003,d,SMR04, ,F60 - F69,1275, ,24.95, ,840, ,16.44, ,95, ,1.86, 
172,2005/06,S92000003,d,Total,d,F10 - F19,10205, ,199.7, ,7325, ,143.34, ,270, ,5.28, 
173,2005/06,S92000003,d,SMR01, ,F10 - F19,5645, ,110.47, ,4110, ,80.43, ,,:,,:
174,2005/06,S92000003,d,SMR04, ,F10 - F19,4560, ,89.23, ,3615, ,70.74, ,270, ,5.28, 
175,2005/06,S92000003,d,Total,d,F30 - F39,7755, ,151.76, ,5800, ,113.5, ,860, ,16.83, 
176,2005/06,S92000003,d,SMR01, ,F30 - F39,395, ,7.73, ,325, ,6.36, ,,:,,:
177,2005/06,S92000003,d,SMR04, ,F30 - F39,7360, ,144.03, ,5540, ,108.41, ,860, ,16.83, 
178,2005/06,S92000003,d,Total,d,F40 - F49,2345, ,45.89, ,2070, ,40.51, ,110, ,2.15, 
179,2005/06,S92000003,d,SMR01, ,F40 - F49,740, ,14.48, ,660, ,12.92, ,,:,,:
180,2005/06,S92000003,d,SMR04, ,F40 - F49,1600, ,31.31, ,1415, ,27.69, ,110, ,2.15, 
181,2005/06,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6410, ,125.44, ,4695, ,91.88, ,1830, ,35.81, 
182,2005/06,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2585, ,50.59, ,1805, ,35.32, ,,:,,:
183,2005/06,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3820, ,74.75, ,3015, ,59, ,1830, ,35.81, 
184,2005/06,S92000003,d,Total,d,"F50 - F59, F70 - F99",555, ,10.86, ,420, ,8.22, ,110, ,2.15, 
185,2005/06,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",240, ,4.7, ,185, ,3.62, ,,:,,:
186,2005/06,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",310, ,6.07, ,245, ,4.79, ,110, ,2.15, 
187,2005/06,S92000003,d,Total,d,F20 - F29,6400, ,125.24, ,4210, ,82.38, ,1675, ,32.78, 
188,2005/06,S92000003,d,SMR01, ,F20 - F29,120, ,2.35, ,100, ,1.96, ,,:,,:
189,2005/06,S92000003,d,SMR04, ,F20 - F29,6280, ,122.89, ,4140, ,81.01, ,1675, ,32.78, 
190,2006/07,S92000003,d,Total,d,F60 - F69,1285, ,25.03, ,825, ,16.07, ,100, ,1.95, 
191,2006/07,S92000003,d,SMR01, ,F60 - F69,35, ,0.68, ,30, ,0.58, ,,:,,:
192,2006/07,S92000003,d,SMR04, ,F60 - F69,1250, ,24.35, ,800, ,15.59, ,100, ,1.95, 
193,2006/07,S92000003,d,Total,d,F10 - F19,10945, ,213.23, ,7780, ,151.57, ,285, ,5.55, 
194,2006/07,S92000003,d,SMR01, ,F10 - F19,6670, ,129.94, ,4735, ,92.25, ,,:,,:
195,2006/07,S92000003,d,SMR04, ,F10 - F19,4275, ,83.28, ,3490, ,67.99, ,285, ,5.55, 
196,2006/07,S92000003,d,Total,d,F30 - F39,7040, ,137.15, ,5365, ,104.52, ,845, ,16.46, 
197,2006/07,S92000003,d,SMR01, ,F30 - F39,385, ,7.5, ,310, ,6.04, ,,:,,:
198,2006/07,S92000003,d,SMR04, ,F30 - F39,6660, ,129.75, ,5125, ,99.84, ,845, ,16.46, 
199,2006/07,S92000003,d,Total,d,F40 - F49,2150, ,41.89, ,1885, ,36.72, ,95, ,1.85, 
200,2006/07,S92000003,d,SMR01, ,F40 - F49,780, ,15.2, ,690, ,13.44, ,,:,,:
201,2006/07,S92000003,d,SMR04, ,F40 - F49,1370, ,26.69, ,1205, ,23.48, ,95, ,1.85, 
202,2006/07,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6735, ,131.21, ,4740, ,92.34, ,1695, ,33.02, 
203,2006/07,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,2895, ,56.4, ,1940, ,37.79, ,,:,,:
204,2006/07,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3840, ,74.81, ,2945, ,57.37, ,1695, ,33.02, 
205,2006/07,S92000003,d,Total,d,"F50 - F59, F70 - F99",505, ,9.84, ,410, ,7.99, ,110, ,2.14, 
206,2006/07,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",225, ,4.38, ,190, ,3.7, ,,:,,:
207,2006/07,S92000003,d,SMR04, ,"F50 - F59, F70 - F99",280, ,5.45, ,235, ,4.58, ,110, ,2.14, 
208,2006/07,S92000003,d,Total,d,F20 - F29,5920, ,115.33, ,3845, ,74.91, ,1590, ,30.98, 
209,2006/07,S92000003,d,SMR01, ,F20 - F29,140, ,2.73, ,120, ,2.34, ,,:,,:
210,2006/07,S92000003,d,SMR04, ,F20 - F29,5780, ,112.6, ,3765, ,73.35, ,1590, ,30.98, 
211,2007/08,S92000003,d,Total,d,F60 - F69,1355, ,26.21, ,855, ,16.54, ,105, ,2.03, 
212,2007/08,S92000003,d,SMR01, ,F60 - F69,30, ,0.58, ,30, ,0.58, ,,:,,:
213,2007/08,S92000003,d,SMR04, ,F60 - F69,1325, ,25.63, ,825, ,15.96, ,105, ,2.03, 
214,2007/08,S92000003,d,Total,d,F10 - F19,11990, ,231.91, ,8180, ,158.22, ,250, ,4.84, 
215,2007/08,S92000003,d,SMR01, ,F10 - F19,7865, ,152.13, ,5260, ,101.74, ,,:,,:
216,2007/08,S92000003,d,SMR04, ,F10 - F19,4125, ,79.79, ,3345, ,64.7, ,250, ,4.84, 
217,2007/08,S92000003,d,Total,d,F30 - F39,6835, ,132.21, ,5165, ,99.9, ,770, ,14.89, 
218,2007/08,S92000003,d,SMR01, ,F30 - F39,420, ,8.12, ,335, ,6.48, ,,:,,:
219,2007/08,S92000003,d,SMR04, ,F30 - F39,6420, ,124.18, ,4900, ,94.78, ,770, ,14.89, 
220,2007/08,S92000003,d,Total,d,F40 - F49,2305, ,44.58, ,1980, ,38.3, ,115, ,2.22, 
221,2007/08,S92000003,d,SMR01, ,F40 - F49,825, ,15.96, ,720, ,13.93, ,,:,,:
222,2007/08,S92000003,d,SMR04, ,F40 - F49,1480, ,28.63, ,1270, ,24.56, ,115, ,2.22, 
223,2007/08,S92000003,d,Total,d,F00 - F09 or Chapter G and second position F00,6380, ,123.4, ,4610, ,89.17, ,1520, ,29.4, 
224,2007/08,S92000003,d,SMR01, ,F00 - F09 or Chapter G and second position F00,3005, ,58.12, ,1990, ,38.49, ,,:,,:
225,2007/08,S92000003,d,SMR04, ,F00 - F09 or Chapter G and second position F00,3370, ,65.18, ,2745, ,53.09, ,1520, ,29.4, 
226,2007/08,S92000003,d,Total,d,"F50 - F59, F70 - F99",565, ,10.93, ,445, ,8.61, ,95, ,1.84, 
227,2007/08,S92000003,d,SMR01, ,"F50 - F59, F70 - F99",245, ,4.74, ,210, ,4.06, ,,:,,:
